,Accuracy,Model,Layer,Task
12,89.03,PIXEL,12,Tense
1,74.0,ViT-mae,1,Tense
2,75.45,ViT-mae,2,Tense
3,76.28,ViT-mae,3,Tense
4,77.12,ViT-mae,4,Tense
5,76.85,ViT-mae,5,Tense
6,76.7,ViT-mae,6,Tense
7,76.15,ViT-mae,7,Tense
8,75.51,ViT-mae,8,Tense
9,76.03,ViT-mae,9,Tense
10,75.13,ViT-mae,10,Tense
11,75.02,ViT-mae,11,Tense
12,72.31,ViT-mae,12,Tense
1,50.0,Baseline,1,Tense
2,50.0,Baseline,2,Tense
3,50.0,Baseline,3,Tense
4,50.0,Baseline,4,Tense
5,50.0,Baseline,5,Tense
6,50.0,Baseline,6,Tense
7,50.0,Baseline,7,Tense
8,50.0,Baseline,8,Tense
9,50.0,Baseline,9,Tense
10,50.0,Baseline,10,Tense
11,50.0,Baseline,11,Tense
12,50.0,Baseline,12,Tense
1,78.45,PIXEL-bigrams,1,Tense
2,80.8,PIXEL-bigrams,2,Tense
3,82.6,PIXEL-bigrams,3,Tense
4,83.33,PIXEL-bigrams,4,Tense
5,83.52,PIXEL-bigrams,5,Tense
6,83.23,PIXEL-bigrams,6,Tense
7,83.24,PIXEL-bigrams,7,Tense
8,82.97,PIXEL-bigrams,8,Tense
9,82.75,PIXEL-bigrams,9,Tense
10,82.42,PIXEL-bigrams,10,Tense
11,82.26,PIXEL-bigrams,11,Tense
12,81.81,PIXEL-bigrams,12,Tense
1,77.16,PIXEL-MNLI,1,Tense
2,81.76,PIXEL-MNLI,2,Tense
3,84.32,PIXEL-MNLI,3,Tense
4,86.39,PIXEL-MNLI,4,Tense
5,86.83,PIXEL-MNLI,5,Tense
6,87.25,PIXEL-MNLI,6,Tense
7,87.99,PIXEL-MNLI,7,Tense
8,88.81,PIXEL-MNLI,8,Tense
9,89.08,PIXEL-MNLI,9,Tense
10,88.53,PIXEL-MNLI,10,Tense
11,88.2,PIXEL-MNLI,11,Tense
12,87.32,PIXEL-MNLI,12,Tense
1,53.35,BERT,1,SOMO
2,54.23,BERT,2,SOMO
3,55.62,BERT,3,SOMO
4,56.95,BERT,4,SOMO
5,59.48,BERT,5,SOMO
6,62.51,BERT,6,SOMO
7,64.21,BERT,7,SOMO
8,65.48,BERT,8,SOMO
9,66.51,BERT,9,SOMO
10,66.93,BERT,10,SOMO
11,67.3,BERT,11,SOMO
12,66.17,BERT,12,SOMO
1,50.31,PIXEL,1,SOMO
2,50.23,PIXEL,2,SOMO
3,50.38,PIXEL,3,SOMO
4,50.94,PIXEL,4,SOMO
5,50.63,PIXEL,5,SOMO
6,50.66,PIXEL,6,SOMO
7,51.58,PIXEL,7,SOMO
8,54.01,PIXEL,8,SOMO
9,55.47,PIXEL,9,SOMO
10,57.25,PIXEL,10,SOMO
11,57.15,PIXEL,11,SOMO
12,57.11,PIXEL,12,SOMO
1,50.28,ViT-mae,1,SOMO
2,50.25,ViT-mae,2,SOMO
3,50.42,ViT-mae,3,SOMO
4,50.4,ViT-mae,4,SOMO
5,50.79,ViT-mae,5,SOMO
6,50.48,ViT-mae,6,SOMO
7,50.4,ViT-mae,7,SOMO
8,50.48,ViT-mae,8,SOMO
9,50.48,ViT-mae,9,SOMO
10,50.73,ViT-mae,10,SOMO
11,50.61,ViT-mae,11,SOMO
12,50.35,ViT-mae,12,SOMO
1,50.129999999999995,Baseline,1,SOMO
2,50.129999999999995,Baseline,2,SOMO
3,50.129999999999995,Baseline,3,SOMO
4,50.129999999999995,Baseline,4,SOMO
5,50.129999999999995,Baseline,5,SOMO
6,50.129999999999995,Baseline,6,SOMO
7,50.129999999999995,Baseline,7,SOMO
8,50.129999999999995,Baseline,8,SOMO
9,50.129999999999995,Baseline,9,SOMO
10,50.129999999999995,Baseline,10,SOMO
11,50.129999999999995,Baseline,11,SOMO
12,50.129999999999995,Baseline,12,SOMO
1,50.59,PIXEL-bigrams,1,SOMO
2,50.86,PIXEL-bigrams,2,SOMO
3,50.88,PIXEL-bigrams,3,SOMO
4,50.69,PIXEL-bigrams,4,SOMO
5,50.63,PIXEL-bigrams,5,SOMO
6,50.48,PIXEL-bigrams,6,SOMO
7,50.45,PIXEL-bigrams,7,SOMO
8,50.26,PIXEL-bigrams,8,SOMO
9,50.19,PIXEL-bigrams,9,SOMO
10,50.19,PIXEL-bigrams,10,SOMO
11,50.22,PIXEL-bigrams,11,SOMO
12,50.19,PIXEL-bigrams,12,SOMO
1,50.59,PIXEL-MNLI,1,SOMO
2,50.4,PIXEL-MNLI,2,SOMO
3,50.86,PIXEL-MNLI,3,SOMO
4,50.43,PIXEL-MNLI,4,SOMO
5,50.34,PIXEL-MNLI,5,SOMO
6,50.16,PIXEL-MNLI,6,SOMO
7,51.02,PIXEL-MNLI,7,SOMO
8,52.47,PIXEL-MNLI,8,SOMO
9,52.74,PIXEL-MNLI,9,SOMO
10,53.66,PIXEL-MNLI,10,SOMO
